team_id,lat,lon,color
CHH, 35.2270869, -80.8431267, #1D1160
CHO, 35.2270869, -80.8431267, #1D1160
CHA, 35.2270869, -80.8431267, #1D1160
ORL, 28.5383355, -81.3792365, #0077C0
GSW, 37.8043637, -122.2711137, #006BB6
DAL, 32.7766642, -96.7969879, #00538C
PHO, 33.4483771, -112.0740373, #1D1160
DEN, 39.7392358, -104.990251, #0E2240
MIL, 43.0389025, -87.9064736, #00471B
HOU, 29.7604267, -95.3698028, #CE1141
LAC, 38.5815719, -121.4943996, #C8102E
MIA, 25.7616798, -80.1917902, #98002E
DET, 42.331427, -83.0457538, #C8102E
IND, 39.768403, -86.158068, #002D62
NYK, 40.7127837, -74.0059413, #006BB6
CLE, 41.49932, -81.6943605, #6F263D
PHI, 39.9525839, -75.1652215, #006BB6
SAS, 29.4241219, -98.4936282, #C4CED4
TOR, 43.6532, 79.3832, #CE1141
BOS, 42.3600825, -71.0588801, #007A33
UTA, 40.7607793, -111.8910474, #002B5C
LAL, 34.0522342, -118.2436849, #552583
POR, 45.5230622, -122.6764816, #E03A3E
WAS, 38.9071923, -77.0368707, #002B5C
ATL, 33.7489954, -84.3879824, #E03A3E
CHI, 41.8781136, -87.6297982, #CE1141
SAC, 38.5815719, -121.4943996, #5A2D81
MIN, 44.977753, -93.2650108, #0C2340
MEM, 35.1495343, -90.0489801, #5D76A9
OKC, 35.4675602, -97.5164276, #007AC1
BRK, 41.7127837, -74.0059413, #000000
NJN, 40.7127837, -74.0059413, #000000
NOP, 29.9510658, -90.0715323, #0C2340
NOH, 29.9510658, -90.0715323, #0C2340
NOK, 35.4675602, -97.5164276, #0C2340
KCK, 39.0997265, -94.5785667, #CE1141
SDC, 32.715738, -117.1610838, #C8102E
SEA, 47.6062095, -122.3320708, #00653A
VAN, 49.2827, -123.1207, #5D76A9
WSB, 38.9071923, -77.0368707, #002B5C
